player,team,league,position,nationality,secondNationality,active,dataset,age,elo,market_value,minutes,goals,assists,xg,shots
 A. Mouloua, FUS Rabat,Botola, ST,Morocco,,yes,Botola,23,58,1.947,,,,,
 M. Ouhrou, Maghreb Fes,Botola, LB,Morocco,,yes,Botola,24,56,0.34,,,,,
 S. Errahouli, Olympic Safi,Botola, RW,Morocco,,yes,Botola,23,60,1.749,,,,,
 J. Ghabra, Ittihad Tanger,Botola, RW,Morocco,,yes,Botola,31,56,0.579,,,,,
 Y. Najari, Olympic Safi,Botola, RW,Morocco,,yes,Botola,30,57,0.288,,,,,
 Y. Kordani, Olympic Safi,Botola, CB,Morocco,,yes,Botola,35,56,0.302,,,,,
 M. Sahd, COD Meknes,Botola, ST,Morocco,,yes,Botola,32,60,0.886,,,,,
 A. Badaoui, Renaissance Zemamra,Botola, RB,Morocco,,yes,Botola,26,53,0.491,,,,,
 C. Faidi, FUS Rabat,Botola, ST,Morocco,,yes,Botola,26,50,0.77,,,,,
 Abdallah Boukhanfer, Hassania Agadir,Botola, CAM,Morocco,,yes,Botola,28,51,0.833,,,,,
 R. Ghanimi, FUS Rabat,Botola, GK,Morocco,,yes,Botola,24,51,0.616,,,,,
 M. Goulouss, COD Meknes,Botola, CAM,Morocco,,yes,Botola,32,54,0.449,,,,,
 Naim Byar, Wydad Casablanca,Botola, CM,Morocco,,yes,Botola,21,50,0.402,,,,,
 Nadir Lougmani, Kawkab Marrakech,Botola, RB,Morocco,,yes,Botola,23,52,0.812,,,,,
 H. El Moudene, Ittihad Tanger,Botola, CM,Morocco,,yes,Botola,30,53,0.611,,,,,
 M. Bakhkhach, Hassania Agadir,Botola, LW,Morocco,,yes,Botola,24,58,2.062,,,,,
 O. Chraibi, Raja Casablanca,Botola, DM,Morocco,,yes,Botola,23,53,0.318,,,,,
 A. Azri, RS Berkane,Botola, RW,Morocco,,yes,Botola,30,60,1.215,,,,,
 A. El Forsy, UTS Rabat,Botola, CAM,Morocco,,yes,Botola,27,52,0.417,,,,,
 B. Abyir, Hassania Agadir,Botola, GK,Morocco,,yes,Botola,27,56,0.485,,,,,
 I. Mihrab, Kawkab Marrakech,Botola, RW,Morocco,,yes,Botola,29,54,0.782,,,,,
 A. El Khayati, FAR Rabat,Botola, GK,Morocco,,yes,Botola,28,54,0.751,,,,,
 Y. Amhih, FUS Rabat,Botola, CB,Morocco,,yes,Botola,23,58,1.418,,,,,
 S. El Bouchqali, Olympic Safi,Botola, CAM,Morocco,,yes,Botola,23,59,2.417,,,,,
 I. Serbout, Olympic Safi,Botola, RB,Morocco,,yes,Botola,32,56,0.297,,,,,
 H. Essadak, UTS Rabat,Botola, CM,Morocco,,yes,Botola,20,53,1.972,,,,,
 C. Knaidil, COD Meknes,Botola, LB,Morocco,,yes,Botola,23,52,0.176,,,,,
 K. Lagrouch, Ittihad Tanger,Botola, ST,Morocco,,yes,Botola,25,52,0.45,,,,,
 F. Zahouani, UTS Rabat,Botola, LB,Morocco,,yes,Botola,19,54,0.643,,,,,
 M. Mchakhchekh, Raja Casablanca,Botola, CB,Morocco,,yes,Botola,22,51,0.481,,,,,
 A. Lakhlifi, COD Meknes,Botola, DM,Morocco,,yes,Botola,25,51,0.258,,,,,
 Y. Kajai, UTS Rabat,Botola, CB,Morocco,,yes,Botola,27,55,0.658,,,,,
 B. Bouzidi, Difaâ El Jadida,Botola, DM,Morocco,,yes,Botola,25,52,0.696,,,,,
 D. Jabali, Maghreb Fes,Botola, CB,Morocco,,yes,Botola,27,58,0.654,,,,,
 O. Noureddine, Maghreb Fes,Botola, DM,Morocco,,yes,Botola,24,53,0.631,,,,,
 A. Berdad, COD Meknes,Botola, CM,Morocco,,yes,Botola,32,55,0.3,,,,,
 S. Tazi, FUS Rabat,Botola, CM,Morocco,,yes,Botola,21,53,0.693,,,,,
 A. Al-Maamouri, Raja Casablanca,Botola, RW,Morocco,,yes,Botola,25,53,0.53,,,,,
 A. Benaadi, Olympique Dcheïra,Botola, CAM,Morocco,,yes,Botola,33,51,0.024,,,,,
 I. Zidani, Renaissance Zemamra,Botola, DM,Morocco,,yes,Botola,25,54,0.52,,,,,
 Y. Dahmani, UTS Rabat,Botola, LW,Morocco,,yes,Botola,25,56,0.228,,,,,
 O. Daoui, COD Meknes,Botola, RB,Morocco,,yes,Botola,30,52,0.288,,,,,
H. El Mejhed, Hassania Agadir,Botola, GK,Morocco,,yes,Botola,34,40,0.126,,,,,
 H. Boussefiane, Yacoub El Mansour,Botola, RW,Morocco,,yes,Botola,28,44,0.225,,,,,
 M. Elaz, Olympic Safi,Botola, LW,Morocco,,yes,Botola,29,45,0.341,,,,,
 A. Chentouf, Ittihad Tanger,Botola, CM,Morocco,,yes,Botola,29,46,0.539,,,,,
 A. Dghoughi, COD Meknes,Botola, CAM,Morocco,,yes,Botola,34,38,0.001,,,,,
 A. Jabroun, Yacoub El Mansour,Botola, RW,Morocco,,yes,Botola,28,37,0.077,,,,,
 Anass Eddaou, Olympic Safi,Botola, LW,Morocco,,yes,Botola,26,49,0.599,,,,,
 Mehdi Maftah, RS Berkane,Botola, GK,Morocco,,yes,Botola,32,45,0.331,,,,,
 Zaca Ghailán, Renaissance Zemamra,Botola, LW,Morocco,,yes,Botola,23,44,0.508,,,,,
 A. Bessak, Difaâ El Jadida,Botola, GK,Morocco,,yes,Botola,29,49,0.533,,,,,
 M. Essahel, UTS Rabat,Botola, CAM,Morocco,,yes,Botola,23,48,0.928,,,,,
 H. Baouch, Kawkab Marrakech,Botola, DM,Morocco,,yes,Botola,30,36,0.051,,,,,
 Oussama Raoui, FUS Rabat,Botola, RB,Morocco,,yes,Botola,23,47,0.707,,,,,
 Reda Asmama, UTS Rabat,Botola, GK,Morocco,,yes,Botola,24,38,0.149,,,,,
 A. Ouhatti, Olympic Safi,Botola, DM,Morocco,,yes,Botola,25,48,0.236,,,,,
 M. Bentarcha, Difaâ El Jadida,Botola, CB,Morocco,,yes,Botola,27,44,0.173,,,,,
 I. Gourad, Renaissance Zemamra,Botola, LW,Morocco,,yes,Botola,25,38,0.193,,,,,
 Walid Hasbi, UTS Rabat,Botola, GK,Morocco,,yes,Botola,22,40,0.038,,,,,
 M. Dahak, Raja Casablanca,Botola, LW,Morocco,,yes,Botola,20,49,1.84,,,,,
 Y. Raiani, Kawkab Marrakech,Botola, CM,Morocco,,yes,Botola,27,44,0.059,,,,,
 Oussama Haffari, Kawkab Marrakech,Botola, CAM,Morocco,,yes,Botola,26,46,0.377,,,,,
 S. Al Sellami, Kawkab Marrakech,Botola, LW,Morocco,,yes,Botola,29,44,0.15,,,,,
 R. Hajji, RS Berkane,Botola, CAM,Morocco,,yes,Botola,25,44,0.521,,,,,
 M. Abba, Olympique Dcheïra,Botola, ST,Morocco,,yes,Botola,25,36,0.054,,,,,
